id,systemCode,name,chamber,type,activityName,activityDate
hr1518,hsgo00,Oversight and Accountability Committee,House,Standing,Referred to,2023-03-09 15:01:40+00:00
hr1519,hsju00,Judiciary Committee,House,Standing,Referred to,2023-03-09 15:02:20+00:00
hr152,hsju00,Judiciary Committee,House,Standing,Referred to,2023-01-09 22:23:40+00:00
hr152,hswm00,Ways and Means Committee,House,Standing,Referred to,2023-01-09 22:23:35+00:00
hr1521,hsba00,Financial Services Committee,House,Standing,Referred to,2023-03-09 15:04:35+00:00
hr1522,hsju00,Judiciary Committee,House,Standing,Referred to,2023-03-09 15:02:15+00:00
hr1522,hsgo00,Oversight and Accountability Committee,House,Standing,Referred to,2023-03-09 15:02:10+00:00
hr1524,hsha00,Committee on House Administration,House,Standing,Referred to,2023-03-09 15:06:00+00:00
hr1524,hsed00,Education and the Workforce Committee,House,Standing,Referred to,2023-03-09 15:05:50+00:00
hr1524,hsgo00,Oversight and Accountability Committee,House,Standing,Referred to,2023-03-09 15:05:45+00:00
hr1524,hsju00,Judiciary Committee,House,Standing,Referred to,2023-03-09 15:05:40+00:00
hr1525,hsju00,Judiciary Committee,House,Standing,Markup by,2023-06-14 17:45:05+00:00
hr1525,hsju00,Judiciary Committee,House,Standing,Referred to,2023-03-09 15:00:40+00:00
hr1525,hsba00,Financial Services Committee,House,Standing,Referred to,2023-03-09 15:01:00+00:00
hr1525,hswm00,Ways and Means Committee,House,Standing,Referred to,2023-03-09 15:00:50+00:00
hr1526,hswm00,Ways and Means Committee,House,Standing,Referred to,2023-03-09 15:02:45+00:00
hr1528,hsgo00,Oversight and Accountability Committee,House,Standing,Referred to,2023-03-10 14:02:30+00:00
hr153,hsha00,Committee on House Administration,House,Standing,Referred to,2023-01-09 22:08:20+00:00
hr1533,hsba00,Financial Services Committee,House,Standing,Referred to,2023-03-10 14:01:10+00:00
hr1535,hsju00,Judiciary Committee,House,Standing,Referred to,2023-03-10 14:03:35+00:00
hr1536,hsgo00,Oversight and Accountability Committee,House,Standing,Referred to,2023-03-10 14:04:10+00:00
hr1536,hswm00,Ways and Means Committee,House,Standing,Referred to,2023-03-10 14:04:05+00:00
hr1537,hsju00,Judiciary Committee,House,Standing,Referred to,2023-03-10 14:05:25+00:00
hr1538,hssm00,Small Business Committee,House,Standing,Referred to,2023-03-10 14:05:00+00:00
hr1539,hsed00,Education and the Workforce Committee,House,Standing,Referred to,2023-03-10 14:05:05+00:00
hr154,hsha00,Committee on House Administration,House,Standing,Referred to,2023-01-09 22:08:45+00:00
hr1540,hsba00,Financial Services Committee,House,Standing,Referred to,2023-03-10 14:02:00+00:00
hr1541,hssm00,Small Business Committee,House,Standing,Reported by,2023-06-05 22:28:27+00:00
hr1541,hssm00,Small Business Committee,House,Standing,Markup by,2023-05-23 14:32:05+00:00
hr1541,hssm00,Small Business Committee,House,Standing,Referred to,2023-03-10 14:03:30+00:00
hr1543,hsed00,Education and the Workforce Committee,House,Standing,Referred to,2023-03-10 14:04:45+00:00
hr1545,hswm00,Ways and Means Committee,House,Standing,Referred to,2023-03-10 14:04:50+00:00
hr1546,hsfa00,Foreign Affairs Committee,House,Standing,Referred to,2023-03-10 14:00:45+00:00
hr1547,ssbk00,"Banking, Housing, and Urban Affairs Committee",Senate,Standing,Referred to,2023-12-06 18:38:59+00:00
hr1548,ssbk00,"Banking, Housing, and Urban Affairs Committee",Senate,Standing,Referred to,2023-07-12 17:39:58+00:00
hr1548,hsgo00,Oversight and Accountability Committee,House,Standing,Discharged from,2023-07-11 16:47:36+00:00
hr1548,hsgo00,Oversight and Accountability Committee,House,Standing,Referred to,2023-03-10 14:04:35+00:00
hr1548,hsba00,Financial Services Committee,House,Standing,Reported by,2023-07-11 16:47:15+00:00
hr1548,hsba00,Financial Services Committee,House,Standing,Markup by,2023-04-26 15:13:16+00:00
hr1548,hsba00,Financial Services Committee,House,Standing,Referred to,2023-03-10 14:04:30+00:00
hr1549,hsju00,Judiciary Committee,House,Standing,Referred to,2023-03-10 14:00:25+00:00
hr155,hsju00,Judiciary Committee,House,Standing,Referred to,2023-01-09 22:07:30+00:00
hr1552,hsju00,Judiciary Committee,House,Standing,Referred to,2023-03-10 14:02:05+00:00
hr1553,hsba00,Financial Services Committee,House,Standing,Reported by,2023-12-12 16:19:31+00:00
hr1553,hsba00,Financial Services Committee,House,Standing,Markup by,2023-05-24 15:38:15+00:00
hr1553,hsba00,Financial Services Committee,House,Standing,Referred to,2023-03-10 14:04:20+00:00
hr1554,hswm00,Ways and Means Committee,House,Standing,Referred to,2023-03-10 14:01:05+00:00
hr1555,ssga00,Homeland Security and Governmental Affairs Committee,Senate,Standing,Referred to,2024-06-04 17:52:14+00:00
hr1555,hsgo00,Oversight and Accountability Committee,House,Standing,Markup by,2024-04-10 20:36:04+00:00
hr1555,hsgo00,Oversight and Accountability Committee,House,Standing,Unknown,2024-03-07 15:35:00+00:00
hr1555,hsgo00,Oversight and Accountability Committee,House,Standing,Markup by,2024-03-07 15:35:00+00:00
hr1555,hsgo00,Oversight and Accountability Committee,House,Standing,Unknown,2024-03-07 15:34:00+00:00
hr1555,hsgo00,Oversight and Accountability Committee,House,Standing,Referred to,2023-03-10 14:02:35+00:00
hr156,hssy00,"Science, Space, and Technology Committee",House,Standing,Referred to,2023-01-09 22:07:50+00:00
hr156,hsha00,Committee on House Administration,House,Standing,Referred to,2023-01-09 22:07:45+00:00
hr1560,hsju00,Judiciary Committee,House,Standing,Referred to,2023-03-10 14:03:50+00:00
hr1562,hswm00,Ways and Means Committee,House,Standing,Referred to,2023-03-10 14:03:10+00:00
hr1563,hsfa00,Foreign Affairs Committee,House,Standing,Referred to,2023-03-10 14:00:40+00:00
hr1564,hsju00,Judiciary Committee,House,Standing,Referred to,2023-03-10 14:04:25+00:00
hr1565,hswm00,Ways and Means Committee,House,Standing,Referred to,2023-03-10 14:05:20+00:00
hr1567,sseg00,Energy and Natural Resources Committee,Senate,Standing,Referred to,2023-09-14 17:09:04+00:00
hr1568,hswm00,Ways and Means Committee,House,Standing,Reported by,2023-12-01 17:09:26+00:00
hr1568,hswm00,Ways and Means Committee,House,Standing,Markup by,2023-11-02 19:44:21+00:00
hr1568,hswm00,Ways and Means Committee,House,Standing,Referred to,2023-03-10 14:02:15+00:00
hr157,hsju00,Judiciary Committee,House,Standing,Referred to,2023-01-09 22:08:10+00:00
hr157,hsha00,Committee on House Administration,House,Standing,Referred to,2023-01-09 22:08:05+00:00
hr1570,hsfa00,Foreign Affairs Committee,House,Standing,Referred to,2023-03-10 14:01:45+00:00
hr1571,hswm00,Ways and Means Committee,House,Standing,Referred to,2023-03-14 20:01:00+00:00
hr1571,hsgo00,Oversight and Accountability Committee,House,Standing,Referred to,2023-03-14 20:00:50+00:00
hr1572,hsha00,Committee on House Administration,House,Standing,Referred to,2023-03-14 20:03:10+00:00
hr1572,hsba00,Financial Services Committee,House,Standing,Referred to,2023-03-14 20:03:05+00:00
hr1573,hsed00,Education and the Workforce Committee,House,Standing,Referred to,2023-03-14 20:03:15+00:00
hr1574,hsba00,Financial Services Committee,House,Standing,Referred to,2023-03-14 20:02:35+00:00
hr1577,hsii00,Natural Resources Committee,House,Standing,Referred to,2023-03-14 20:04:40+00:00
hr1578,hsed00,Education and the Workforce Committee,House,Standing,Referred to,2023-03-14 20:03:45+00:00
hr1579,ssbk00,"Banking, Housing, and Urban Affairs Committee",Senate,Standing,Referred to,2023-06-06 20:56:51+00:00
hr1579,hsba00,Financial Services Committee,House,Standing,Reported by,2023-06-05 18:35:24+00:00
hr1579,hsba00,Financial Services Committee,House,Standing,Markup by,2023-04-26 15:12:24+00:00
hr1579,hsba00,Financial Services Committee,House,Standing,Referred to,2023-03-14 20:04:20+00:00
hr158,hsgo00,Oversight and Accountability Committee,House,Standing,Referred to,2023-01-09 22:08:30+00:00
